target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M16571018-0406099,STAR,254.292433,-4.102777,3,57970.9672843403,4000.0,0
2M16570778-0406059,STAR,254.282428,-4.101656,3,57971.9531440394,4000.0,0
2M16570630-0406120,STAR,254.276268,-4.103339,3,57855.3635736921,8000.0,0
2M16571128-0406331,STAR,254.297022,-4.109209,3,57855.3635736921,8000.0,0
2M16571082-0405228,STAR,254.295085,-4.089679,3,57971.9531440394,4000.0,0
2M16570827-0405151,STAR,254.284463,-4.087531,3,57970.9672843403,4000.0,0
2M16571077-0406423,STAR,254.294915,-4.111773,3,57971.9531440394,4000.0,0
2M16570716-0407043,STAR,254.279845,-4.117862,3,57971.9531440394,4000.0,0
2M16570464-0406340,STAR,254.269334,-4.109451,3,57970.9672843403,4000.0,0
2M16571076-0404440,STAR,254.294847,-4.078899,3,57855.3635736921,8000.0,0
2M16570952-0407222,STAR,254.289683,-4.122861,3,57970.9672843403,4000.0,0
2M16571416-0405329,STAR,254.309015,-4.092481,3,57855.3635736921,8000.0,0
2M16571356-0405115,STAR,254.306502,-4.086534,3,57970.9672843403,4000.0,0
2M16571474-0405533,STAR,254.311458,-4.098158,3,57971.9531440394,4000.0,0
2M16570733-0407262,STAR,254.280542,-4.123956,3,57855.3635736921,8000.0,0
2M16571554-0406000,STAR,254.314762,-4.100021,3,57970.9672843403,4000.0,0
2M16570420-0404505,STAR,254.267529,-4.080701,3,57970.9672843403,4000.0,0
2M16571425-0407101,STAR,254.309407,-4.119497,3,57855.3635736921,16000.0,0
2M16570530-0404276,STAR,254.272098,-4.074353,3,57855.3635736921,8000.0,0
2M16571126-0407476,STAR,254.296955,-4.1299,3,57971.9531440394,4000.0,0
2M16570359-0404388,STAR,254.264986,-4.077468,3,57971.9531440394,4000.0,0
2M16570121-0406185,STAR,254.255053,-4.105157,3,57855.3635736921,8000.0,0
2M16571038-0404017,STAR,254.293253,-4.067143,3,57971.9531440394,4000.0,0
2M16570037-0406015,STAR,254.25156,-4.100418,3,57971.9531440394,4000.0,0
2M16571608-0404329,STAR,254.31702,-4.07582,3,57971.9531440394,4000.0,0
2M16571876-0405194,STAR,254.32817,-4.088731,3,57855.3635736921,16000.0,0
2M16571889-0406443,STAR,254.328731,-4.112326,3,57855.3635736921,16000.0,0
2M16570550-0408364,STAR,254.272952,-4.143453,3,57971.9531440394,4000.0,0
2M16571117-0403190,STAR,254.296577,-4.055278,3,57970.9672843403,4000.0,0
2M16571789-0404211,STAR,254.324582,-4.072543,3,57970.9672843403,4000.0,0
2M16571373-0408352,STAR,254.30721,-4.143131,3,57971.9531440394,4000.0,0
2M16570224-0403443,STAR,254.259364,-4.062321,3,57855.3635736921,16000.0,0
2M16570675-0403104,STAR,254.278141,-4.052911,3,57970.9672843403,4000.0,0
2M16571278-0403156,STAR,254.303263,-4.05434,3,57855.3635736921,8000.0,0
2M16565750-0406502,STAR,254.239584,-4.113964,3,57855.3635736921,12000.0,0
2M16571061-0402546,STAR,254.294234,-4.048515,3,57971.9531440394,4000.0,0
2M16565782-0404307,STAR,254.240928,-4.0752,3,57973.0334151157,4000.0,0
2M16571740-0403304,STAR,254.322509,-4.058458,3,57971.9531440394,4000.0,0
2M16571701-0403203,STAR,254.320893,-4.055642,3,57970.9672843403,4000.0,0
2M16565831-0408052,STAR,254.242966,-4.134802,3,57971.9531440394,4000.0,0
2M16570078-0408467,STAR,254.253256,-4.146307,3,57855.3635736921,16000.0,0
2M16571764-0408452,STAR,254.323525,-4.145916,3,57855.3635736921,16000.0,0
2M16565499-0405464,STAR,254.22913,-4.096242,3,57970.9672843403,4000.0,0
2M16572047-0408058,STAR,254.33531,-4.13496,3,57855.3635736921,16000.0,0
2M16570782-0409370,STAR,254.282612,-4.160284,3,57971.9531440394,4000.0,0
2M16565433-0405359,STAR,254.226406,-4.09332,3,57971.9531440394,4000.0,0
2M16570249-0402413,STAR,254.260409,-4.044826,3,57855.3635736921,16000.0,0
2M16565733-0408287,STAR,254.238904,-4.141308,3,57970.9672843403,4000.0,0
2M16570825-0409510,STAR,254.284403,-4.164184,3,57855.3635736921,8000.0,0
2M16572461-0406047,STAR,254.35258,-4.101312,3,57855.3635736921,8000.0,0
2M16571741-0402430,STAR,254.32258,-4.045297,3,57855.3635736921,8000.0,0
2M16572587-0406175,STAR,254.357795,-4.104872,3,57970.9672843403,4000.0,0
2M16565434-0403511,STAR,254.226457,-4.064195,3,57855.3635736921,16000.0,0
2M16572533-0404319,STAR,254.355574,-4.075536,3,57855.3635736921,16000.0,0
2M16570983-0410235,STAR,254.290973,-4.173216,3,57970.9672843403,4000.0,0
2M16572412-0408236,STAR,254.350509,-4.139899,3,57855.3635736921,16000.0,0
2M16565359-0408144,STAR,254.223307,-4.137359,3,57970.9672843403,4000.0,0
2M16565083-0406267,STAR,254.211806,-4.107435,3,57973.0334151157,2002.04,0
2M16565710-0402312,STAR,254.237917,-4.042003,3,57970.9672843403,4000.0,0
2M16570277-0410209,STAR,254.261544,-4.172496,3,57970.9672843403,4000.0,0
2M16565465-0408554,STAR,254.227739,-4.148734,3,57855.3635736921,8000.0,0
2M16572804-0405403,STAR,254.366844,-4.094534,3,57855.3635736921,8000.0,0
2M16572564-0403374,STAR,254.356842,-4.060411,3,57971.9531440394,4000.0,0
2M16571405-0410438,STAR,254.308553,-4.178848,3,57855.3635736921,12000.0,0
2M16565083-0404130,STAR,254.211832,-4.070282,3,57855.3635736921,8000.0,0
2M16572842-0407075,STAR,254.368421,-4.118768,3,57970.9672843403,4000.0,0
2M16565506-0402168,STAR,254.229454,-4.038017,3,57971.9531440394,4000.0,0
2M16571442-0411113,STAR,254.310109,-4.186481,3,57970.9672843403,4000.0,0
2M16565115-0402533,STAR,254.213142,-4.048163,3,57855.3635736921,16000.0,0
2M16572178-0401320,STAR,254.340777,-4.025569,3,57855.3635736921,16000.0,0
2M16572406-0410100,STAR,254.350271,-4.169447,3,57855.3635736921,16000.0,0
2M16565095-0409211,STAR,254.212299,-4.155866,3,57855.3635736921,16000.0,0
2M16571925-0411163,STAR,254.330221,-4.187883,3,57855.3635736921,16000.0,0
2M16573240-0405247,STAR,254.385011,-4.090212,3,57855.3635736921,8000.0,0
2M16570753-0400096,STAR,254.281389,-4.00269,3,57855.3635736921,16000.0,0
2M16573241-0405000,STAR,254.385042,-4.083337,3,57970.9672843403,4000.0,0
2M16572856-0409291,STAR,254.369038,-4.158088,3,57855.3635736921,16000.0,0
2M16565475-0410556,STAR,254.228165,-4.182126,3,57855.3635736921,16000.0,0
2M16564717-0408471,STAR,254.196577,-4.146422,3,57855.3635736921,16000.0,0
2M16572993-0402436,STAR,254.374711,-4.045471,3,57855.3635736921,16000.0,0
2M16570382-0359537,STAR,254.265954,-3.998264,3,57855.3635736921,8000.0,0
2M16565101-0410349,STAR,254.212573,-4.176374,3,57970.9672843403,4000.0,0
2M16572737-0401248,STAR,254.364068,-4.023581,3,57971.9531440394,4000.0,0
2M16573484-0407081,STAR,254.395173,-4.118928,3,57970.9672843403,4000.0,0
2M16564659-0402276,STAR,254.194136,-4.041008,3,57855.3635736921,12000.0,0
2M16570363-0412481,STAR,254.265156,-4.213384,3,57855.3635736921,16000.0,0
2M16564129-0406304,STAR,254.172051,-4.108468,3,57971.9531440394,4000.0,0
2M16572479-0411449,STAR,254.353323,-4.19581,3,57970.9672843403,4000.0,0
