target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M21332527-0049386,STAR,323.355325,-0.8274,3,55822.2481177199,12000.0,2
2M21332216-0048247,STAR,323.342338,-0.806881,3,55822.2481177199,12000.0,2
2M21332953-0050513,STAR,323.373065,-0.8476,3,55822.2481177199,12000.0,2
2M21333131-0047414,STAR,323.380481,-0.794858,3,55822.2481177199,12000.0,2
2M21332068-0050432,STAR,323.336184,-0.845343,3,55822.2481177199,12000.0,2
2M21332545-0047056,STAR,323.356063,-0.7849,3,55822.2481177199,12000.0,2
2M21331948-0051034,STAR,323.331206,-0.85095,3,57284.2322799306,24000.0,2
2M21331723-0048171,STAR,323.321814,-0.804751,3,55822.2481177199,8000.0,2
2M21333432-0051285,STAR,323.39303,-0.857917,3,57274.1624158681,36000.0,2
2M21333432-0051285,STAR,323.39303,-0.857917,3,55822.2481177199,12000.0,2
2M21331521-0049516,STAR,323.313385,-0.831025,3,57274.1624158681,12000.0,2
2M21331521-0049516,STAR,323.313385,-0.831025,3,55822.2481177199,12000.0,2
2M21333847-0050263,STAR,323.410302,-0.840642,3,57284.2322799306,24000.0,2
2M21333747-0047252,STAR,323.406129,-0.790348,3,55822.2481177199,12000.0,2
2M21331854-0051563,STAR,323.32728,-0.865648,3,57274.1624158681,12000.0,2
2M21331854-0051563,STAR,323.32728,-0.865648,3,55822.2481177199,12000.0,2
2M21331674-0047039,STAR,323.319786,-0.784421,3,55822.2481177199,12000.0,2
2M21332531-0052511,STAR,323.35549,-0.880881,3,57284.2322799306,24000.0,2
2M21332531-0052511,STAR,323.35549,-0.880881,3,55822.2481177199,12000.0,2
2M21333520-0046089,STAR,323.396703,-0.769141,3,55822.2481177199,12000.0,2
2M21334193-0048169,STAR,323.424742,-0.804698,3,55822.2481177199,12000.0,2
2M21332616-0045172,STAR,323.359037,-0.754797,3,57284.2322799306,24000.0,2
2M21332616-0045172,STAR,323.359037,-0.754797,3,55822.2481177199,12000.0,2
2M21334187-0051401,STAR,323.424492,-0.861142,3,57274.1624158681,36000.0,2
2M21334187-0051401,STAR,323.424492,-0.861142,3,55822.2481177199,12000.0,2
2M21331069-0051096,STAR,323.294561,-0.852685,3,55822.2481177199,12000.0,2
eBOSS 9224-57933-811,STAR,323.29456,-0.85275134,3,57933.3829398148,3600.33,2
2M21330924-0049508,STAR,323.288539,-0.830792,3,55822.2481177199,12000.0,2
2M21333798-0045491,STAR,323.408267,-0.763664,3,57274.1624158681,36000.0,2
eBOSS 9180-57693-270,QSO,323.35731,-0.89867397,3,57692.0577314815,6300.56,1
eBOSS 9142-57664-500,QSO,323.28945,-0.85377966,3,57664.144375,4500.35,1
eBOSS 9142-57664-552,QSO,323.44299,-0.81013945,3,57664.144375,4500.35,1
eBOSS 9180-57693-280,QSO,323.27432,-0.81151155,3,57692.0577314815,6300.56,1
2M21331293-0045169,STAR,323.303892,-0.754717,3,55822.2481177199,12000.0,2
2M21331406-0053534,STAR,323.308615,-0.898184,3,57274.1624158681,12000.0,2
2M21331406-0053534,STAR,323.308615,-0.898184,3,55822.2481177199,12000.0,2
2M21333109-0054522,STAR,323.379548,-0.914522,3,55822.2481177199,12000.0,2
eBOSS 4194-55450-139,QSO,323.42546,-0.75396002,3,55449.2241898148,6305.79,1
eBOSS 4194-55450-174,STAR,323.31843,-0.91077362,3,55449.2241898148,6305.79,2
2M21332399-0055167,STAR,323.349978,-0.921326,3,57274.1624158681,12000.0,2
eBOSS 9142-57664-537,QSO,323.26425,-0.80416647,3,57664.144375,4500.35,1
eBOSS 9180-57693-225,QSO,323.26212,-0.84014135,3,57692.0577314815,6300.56,1
eBOSS 4194-55450-179,QSO,323.30563,-0.73859049,3,55449.2241898148,6305.79,1
2M21333827-0054569,STAR,323.409483,-0.915811,3,57284.2322799306,24000.0,2
