target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M16233397-2631126,STAR,245.891557,-26.520182,3,57944.1159296875,4000.0,1
2M16233365-2631157,STAR,245.890247,-26.52103,3,58919.3707592824,4000.0,1
2M16233821-2631488,STAR,245.909237,-26.530235,3,58919.3707592824,4000.0,1
2M16233193-2631314,STAR,245.883075,-26.525402,3,57850.3425234722,8000.0,1
2M16233829-2631071,STAR,245.909565,-26.518648,3,57944.1159296875,4000.0,1
2M16233579-2630422,STAR,245.899143,-26.511745,3,57850.3425234722,8000.0,1
2M16233892-2632035,STAR,245.912189,-26.534306,3,57944.1159296875,4000.0,1
2M16233520-2632323,STAR,245.896668,-26.542315,3,57944.1159296875,4000.0,1
2M16233658-2632294,STAR,245.902447,-26.541513,3,57850.3425234722,8000.0,1
2M16233948-2631114,STAR,245.914533,-26.519844,3,57850.3425234722,8000.0,1
2M16232988-2631490,STAR,245.8745,-26.530281,3,57944.1159296875,4000.0,1
2M16233657-2630200,STAR,245.902406,-26.505568,3,58919.3707592824,4000.0,1
2M16233418-2632485,STAR,245.892423,-26.546818,3,58919.3707592824,4000.0,1
2M16233144-2630247,STAR,245.881039,-26.50687,3,57944.1159296875,4000.0,1
2M16234225-2632061,STAR,245.926077,-26.535055,3,58919.3707592824,4000.0,1
2M16234179-2632244,STAR,245.924159,-26.540113,3,57850.3425234722,8000.0,1
2M16232912-2630297,STAR,245.871349,-26.508268,3,57850.3425234722,8000.0,1
2M16233337-2633148,STAR,245.889082,-26.554132,3,57850.3425234722,8000.0,1
2M16234321-2631539,STAR,245.930055,-26.531643,3,57944.1159296875,4000.0,1
2M16233879-2633114,STAR,245.911641,-26.553171,3,58919.3707592824,4000.0,1
2M16232694-2631313,STAR,245.862257,-26.525366,3,58919.3707592824,4000.0,1
2M16234091-2630093,STAR,245.920478,-26.50259,3,57850.3425234722,8000.0,1
2M16232798-2630340,STAR,245.866595,-26.509466,3,58919.3707592824,4000.0,1
2M16232845-2632541,STAR,245.868582,-26.548372,3,58919.3707592824,4000.0,1
2M16233592-2633344,STAR,245.899692,-26.559582,3,57944.1159296875,4000.0,1
2M16233391-2629315,STAR,245.891321,-26.492085,3,57850.3425234722,8000.0,1
2M16233020-2633241,STAR,245.875863,-26.556702,3,57944.1159296875,4000.0,1
2M16232674-2632388,STAR,245.861455,-26.544125,3,57944.1159296875,4000.0,1
2M16232611-2630402,STAR,245.858829,-26.511192,3,57944.1159296875,4000.0,1
2M16233236-2629222,STAR,245.884843,-26.489515,3,58919.3707592824,4000.0,1
2M16234175-2629466,STAR,245.923984,-26.496302,3,57944.1159296875,4000.0,1
2M16232488-2631474,STAR,245.853684,-26.52985,3,57944.1159296875,4000.0,1
2M16233653-2633553,STAR,245.902224,-26.565372,3,57850.3425234722,8000.0,1
2M16233860-2629159,STAR,245.910856,-26.487764,3,57850.3425234722,8000.0,1
2M16232437-2632284,STAR,245.851557,-26.541248,3,57850.3425234722,8000.0,1
2M16234632-2632272,STAR,245.943014,-26.540899,3,57850.3425234722,8000.0,1
