target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M13421066+2822545,STAR,205.544458,28.381832,3,56029.3901327662,12000.0,9
2M13421163+2822136,STAR,205.548491,28.370453,3,56083.1879173264,12000.0,9
2M13420986+2823043,STAR,205.541096,28.384554,3,58181.3523936806,24000.0,9
2M13420842+2823041,STAR,205.535113,28.384478,3,56325.5189867014,12000.0,9
2M13421546+2822499,STAR,205.564424,28.380545,3,56325.5189867014,12000.0,9
2M13421113+2823339,STAR,205.546376,28.392767,3,58148.4440306713,28000.0,9
2M13421113+2823339,STAR,205.546376,28.392767,3,55936.4932651042,60000.0,9
2M13420695+2822294,STAR,205.528987,28.374861,3,58148.4440306713,28000.0,9
2M13420695+2822294,STAR,205.528987,28.374861,3,55936.4932651042,60000.0,9
2M13420873+2821479,STAR,205.536393,28.363317,3,56324.4531125116,12000.0,9
2M13420793+2823243,STAR,205.533062,28.390108,3,56323.4282365162,12000.0,9
2M13421086+2823465,STAR,205.545285,28.396252,3,56083.1879173264,12000.0,9
2M13421659+2823020,STAR,205.569125,28.383898,3,56323.4282365162,12000.0,9
2M13421102+2821270,STAR,205.545931,28.357519,3,58181.3523936806,20000.0,9
2M13421712+2822137,STAR,205.571344,28.370499,3,56083.1879173264,12000.0,9
2M13420895+2823471,STAR,205.537302,28.396437,3,56354.4592371528,12000.0,9
2M13421727+2823011,STAR,205.57196,28.383663,3,56354.4592371528,12000.0,9
2M13421435+2821228,STAR,205.559801,28.356352,3,56029.3901327662,12000.0,9
2M13421373+2821154,STAR,205.55723,28.354286,3,58148.4440306713,28000.0,9
2M13421373+2821154,STAR,205.55723,28.354286,3,55936.4932651042,60000.0,9
2M13421028+2824044,STAR,205.54284,28.401245,3,57454.3754404514,4000.0,9
2M13420492+2822301,STAR,205.520532,28.375051,3,56354.4592371528,12000.0,9
2M13420761+2821254,STAR,205.531719,28.357071,3,56323.4282365162,12000.0,9
2M13421089+2824080,STAR,205.545414,28.402227,3,56325.5189867014,12000.0,9
2M13421553+2821237,STAR,205.564722,28.356586,3,56325.5189867014,24000.0,9
2M13420989+2824085,STAR,205.541242,28.402388,3,56029.3901327662,12000.0,9
2M13420876+2821125,STAR,205.53651,28.353495,3,57454.3754404514,4000.0,9
2M13420876+2821125,STAR,205.53651,28.353495,3,56083.1879173264,12000.0,9
2M13420475+2822052,STAR,205.51983,28.368126,3,57454.3754404514,4000.0,9
2M13420475+2822052,STAR,205.51983,28.368126,3,56325.5189867014,12000.0,9
2M13421679+2823479,STAR,205.569968,28.396646,3,56324.4531125116,12000.0,9
2M13421973+2822440,STAR,205.582228,28.378914,3,56324.4531125116,12000.0,9
2M13421266+2820420,STAR,205.552771,28.345018,3,56323.4282365162,12000.0,9
2M13420299+2822101,STAR,205.512484,28.369488,3,56323.4282365162,24000.0,9
2M13420266+2822306,STAR,205.511086,28.375174,3,56029.3901327662,24000.0,9
2M13420673+2820567,STAR,205.528046,28.349091,3,56325.5189867014,12000.0,9
2M13421917+2823487,STAR,205.579883,28.396862,3,56325.5189867014,12000.0,9
2M13421593+2820363,STAR,205.566409,28.343424,3,56324.4531125116,12000.0,9
2M13420261+2821197,STAR,205.510885,28.355495,3,58181.3523936806,24000.0,9
2M13422091+2824011,STAR,205.587157,28.400312,3,56323.4282365162,12000.0,9
2M13420282+2824132,STAR,205.511762,28.403673,3,58181.3523936806,24000.0,9
2M13420282+2824132,STAR,205.511762,28.403673,3,58148.4440306713,24000.0,9
2M13420282+2824132,STAR,205.511762,28.403673,3,55936.4932651042,132000.0,9
2M13422257+2821460,STAR,205.594057,28.362785,3,58148.4440306713,28000.0,9
2M13422257+2821460,STAR,205.594057,28.362785,3,56381.371159919,2002.04,9
2M13421881+2824441,STAR,205.578376,28.412258,3,58181.3523936806,24000.0,9
2M13421881+2824441,STAR,205.578376,28.412258,3,56083.1879173264,12000.0,9
2M13415973+2822567,STAR,205.498912,28.382439,3,58181.3523936806,24000.0,9
2M13415973+2822567,STAR,205.498912,28.382439,3,56325.5189867014,12000.0,9
2M13420057+2821370,STAR,205.502406,28.360291,3,56354.4592371528,12000.0,9
2M13421801+2820197,STAR,205.57506,28.338806,3,56029.3901327662,24000.0,9
2M13421196+2825210,STAR,205.549845,28.422522,3,56325.5189867014,24000.0,9
2M13422214+2824057,STAR,205.592265,28.4016,3,56029.3901327662,12000.0,9
2M13420954+2819531,STAR,205.539756,28.33143,3,56029.3901327662,12000.0,9
2M13421329+2819508,STAR,205.555412,28.330801,3,57454.3754404514,4000.0,9
2M13421329+2819508,STAR,205.555412,28.330801,3,58181.3523936806,24000.0,9
2M13421985+2824515,STAR,205.582749,28.41431,3,57454.3754404514,4000.0,9
2M13421985+2824515,STAR,205.582749,28.41431,3,56324.4531125116,12000.0,9
2M13420068+2820588,STAR,205.502854,28.349693,3,56029.3901327662,12000.0,9
2M13421428+2825316,STAR,205.559518,28.425453,3,56323.4282365162,12000.0,9
2M13420737+2819485,STAR,205.530714,28.330154,3,58181.3523936806,24000.0,9
2M13420737+2819485,STAR,205.530714,28.330154,3,58148.4440306713,28000.0,9
2M13420737+2819485,STAR,205.530714,28.330154,3,55936.4932651042,60000.0,9
2M13422468+2823284,STAR,205.602858,28.391232,3,58148.4440306713,28000.0,9
2M13422468+2823284,STAR,205.602858,28.391232,3,55936.4932651042,60000.0,9
2M13420388+2825088,STAR,205.516167,28.419117,3,57454.3754404514,4000.0,9
2M13420915+2825401,STAR,205.538138,28.427828,3,58181.3523936806,24000.0,9
2M13415760+2822350,STAR,205.490037,28.376396,3,56324.4531125116,12000.0,9
2M13415789+2821525,STAR,205.491234,28.364599,3,58148.4440306713,28000.0,9
2M13415789+2821525,STAR,205.491234,28.364599,3,55936.4932651042,60000.0,9
2M13415729+2823323,STAR,205.488722,28.392324,3,56029.3901327662,24000.0,9
2M13421236+2825570,STAR,205.55154,28.43251,3,56029.3901327662,24000.0,9
2M13420837+2825541,STAR,205.534898,28.431711,3,58148.4440306713,28000.0,9
2M13420837+2825541,STAR,205.534898,28.431711,3,55936.4932651042,60000.0,9
2M13422387+2824418,STAR,205.599477,28.411615,3,58148.4440306713,24000.0,9
2M13422387+2824418,STAR,205.599477,28.411615,3,55936.4932651042,60000.0,9
2M13422755+2822240,STAR,205.614812,28.373337,3,58181.3523936806,24000.0,9
2M13415599+2823357,STAR,205.4833,28.393251,3,58148.4440306713,24000.0,9
2M13415599+2823357,STAR,205.4833,28.393251,3,55936.4932651042,60000.0,9
2M13420157+2819445,STAR,205.506571,28.329039,3,58148.4440306713,28000.0,9
2M13420157+2819445,STAR,205.506571,28.329039,3,55936.4932651042,132000.0,9
2M13421204+2826265,STAR,205.550198,28.440702,3,57454.3754404514,4000.0,9
2M13421204+2826265,STAR,205.550198,28.440702,3,56324.4531125116,12000.0,9
2M13420038+2825358,STAR,205.501606,28.426632,3,58148.4440306713,24000.0,9
2M13420038+2825358,STAR,205.501606,28.426632,3,55936.4932651042,132000.0,9
2M13422481+2820035,STAR,205.603378,28.334307,3,58148.4440306713,28000.0,9
2M13422481+2820035,STAR,205.603378,28.334307,3,55936.4932651042,132000.0,9
2M13421236+2818373,STAR,205.551526,28.310373,3,57454.3754404514,4000.0,9
2M13421236+2818373,STAR,205.551526,28.310373,3,58181.3523936806,24000.0,9
2M13421236+2818373,STAR,205.551526,28.310373,3,56029.3901327662,12000.0,9
2M13415459+2820595,STAR,205.477483,28.349873,3,57454.3754404514,4000.0,9
2M13415459+2820595,STAR,205.477483,28.349873,3,58181.3523936806,24000.0,9
2M13415459+2820595,STAR,205.477483,28.349873,3,56029.3901327662,12000.0,9
2M13422879+2824167,STAR,205.619994,28.40464,3,57454.3754404514,4000.0,9
2M13422879+2824167,STAR,205.619994,28.40464,3,58181.3523936806,24000.0,9
2M13422879+2824167,STAR,205.619994,28.40464,3,56029.3901327662,12000.0,9
2M13423140+2822543,STAR,205.630846,28.381767,3,57454.3754404514,4000.0,9
2M13423140+2822543,STAR,205.630846,28.381767,3,56029.3901327662,12000.0,9
2M13421635+2818220,STAR,205.568125,28.306133,3,56078.1141368056,2002.04,9
2M13415152+2823224,STAR,205.464683,28.38957,3,57454.3754404514,4000.0,9
2M13415152+2823224,STAR,205.464683,28.38957,3,58181.3523936806,24000.0,9
2M13415152+2823224,STAR,205.464683,28.38957,3,56029.3901327662,12000.0,9
2M13423209+2823022,STAR,205.633719,28.383945,3,58148.4440306713,28000.0,9
2M13423209+2823022,STAR,205.633719,28.383945,3,55936.4932651042,60000.0,9
2M13422416+2826168,STAR,205.600675,28.438002,3,58181.3523936806,24000.0,9
2M13422416+2826168,STAR,205.600675,28.438002,3,58148.4440306713,28000.0,9
2M13422416+2826168,STAR,205.600675,28.438002,3,55936.4932651042,60000.0,9
2M13415631+2825565,STAR,205.484662,28.432388,3,57454.3754404514,4000.0,9
2M13415631+2825565,STAR,205.484662,28.432388,3,58181.3523936806,24000.0,9
2M13415502+2819149,STAR,205.479287,28.320807,3,57454.3754404514,4000.0,9
2M13415502+2819149,STAR,205.479287,28.320807,3,56029.3901327662,12000.0,9
2M13422627+2818480,STAR,205.60948,28.313358,3,58148.4440306713,28000.0,9
2M13422627+2818480,STAR,205.60948,28.313358,3,55936.4932651042,60000.0,9
2M13414946+2821243,STAR,205.456107,28.356773,3,58148.4440306713,28000.0,9
2M13414946+2821243,STAR,205.456107,28.356773,3,55936.4932651042,132000.0,9
2M13420729+2817400,STAR,205.530381,28.294456,3,58148.4440306713,28000.0,9
2M13420729+2817400,STAR,205.530381,28.294456,3,55936.4932651042,132000.0,9
2M13420283+2827209,STAR,205.511822,28.455809,3,58148.4440306713,28000.0,9
2M13420283+2827209,STAR,205.511822,28.455809,3,55936.4932651042,124000.0,9
2M13415318+2819255,STAR,205.471596,28.323772,3,58181.3523936806,24000.0,9
2M13415318+2819255,STAR,205.471596,28.323772,3,56083.1879173264,12000.0,9
2M13422815+2818523,STAR,205.617304,28.314529,3,58181.3523936806,24000.0,9
2M13422815+2818523,STAR,205.617304,28.314529,3,56029.3901327662,12000.0,9
