target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M15183092+0205024,STAR,229.628835,2.084014,3,57551.1886419444,4000.0,3
2M15183575+0204297,STAR,229.648971,2.074922,3,56053.2823083912,28000.0,3
2M15183631+0204457,STAR,229.651309,2.079364,3,57551.1886419444,4000.0,3
2M15183060+0204166,STAR,229.627509,2.071294,3,57058.4761456134,32000.0,3
2M15183649+0204285,STAR,229.652062,2.074603,3,57058.4761456134,92000.0,3
2M15183614+0204162,STAR,229.650616,2.071189,3,57495.3546749884,12000.0,3
2M15182945+0204576,STAR,229.622723,2.082672,3,57143.2803372801,12000.0,3
2M15183269+0203507,STAR,229.636245,2.0641,3,57551.1886419444,4000.0,3
2M15183057+0205395,STAR,229.627412,2.094308,3,55967.4886058218,12000.0,3
2M15183612+0204052,STAR,229.650513,2.068117,3,55966.4767560532,28000.0,3
2M15183302+0205570,STAR,229.637619,2.099175,3,57521.2256861343,2002.04,3
2M15182984+0205377,STAR,229.624374,2.093814,3,56053.2823083912,28000.0,3
2M15182822+0204509,STAR,229.617591,2.080819,3,57060.505800544,12000.0,3
2M15182833+0205181,STAR,229.618056,2.088383,3,57495.3546749884,12000.0,3
2M15182935+0203493,STAR,229.622308,2.063717,3,57141.2833341204,12000.0,3
2M15183182+0203277,STAR,229.632601,2.057711,3,56053.2823083912,12000.0,3
2M15183484+0206165,STAR,229.645194,2.104608,3,55967.4886058218,12000.0,3
2M15183957+0205018,STAR,229.664882,2.083839,3,55966.4767560532,20000.0,3
2M15183915+0205301,STAR,229.663161,2.091703,3,57058.4761456134,28000.0,3
2M15183738+0206079,STAR,229.655765,2.102206,3,55966.4767560532,20000.0,3
2M15182676+0204308,STAR,229.611501,2.075231,3,56053.2823083912,24000.0,3
2M15183679+0206171,STAR,229.653322,2.104772,3,57551.1886419444,4000.0,3
2M15182652+0205353,STAR,229.610503,2.093164,3,57058.4761456134,12000.0,3
2M15182591+0205076,STAR,229.607979,2.085456,3,55966.4767560532,32000.0,3
2M15182581+0204552,STAR,229.607571,2.082025,3,55967.4886058218,12000.0,3
2M15184056+0205213,STAR,229.669006,2.089254,3,57551.1886419444,4000.0,3
2M15183815+0203219,STAR,229.658985,2.0561,3,57551.1886419444,4000.0,3
2M15182885+0206283,STAR,229.620249,2.107883,3,57551.1886419444,4000.0,3
2M15183303+0202544,STAR,229.637651,2.048467,3,57058.4761456134,12000.0,3
2M15183678+0206370,STAR,229.653277,2.110294,3,56053.2823083912,28000.0,3
2M15182930+0206378,STAR,229.622103,2.110506,3,55966.4767560532,20000.0,3
2M15184132+0205014,STAR,229.672172,2.083738,3,55967.4886058218,24000.0,3
2M15182603+0203404,STAR,229.608474,2.061239,3,55966.4767560532,52000.0,3
2M15183105+0202426,STAR,229.62941,2.045183,3,57551.1886419444,4000.0,3
2M15183049+0207005,STAR,229.62707,2.116814,3,55967.4886058218,12000.0,3
2M15183589+0202423,STAR,229.649581,2.045097,3,56053.2823083912,12000.0,3
2M15182427+0204219,STAR,229.601125,2.072767,3,57551.1886419444,4000.0,3
2M15183456+0202349,STAR,229.644,2.043047,3,55966.4767560532,52000.0,3
2M15184164+0203533,STAR,229.673522,2.064813,3,55966.4767560532,20000.0,3
