target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M17534700-3450469,STAR,268.445854,-34.846371,3,58262.3699030208,8000.0,3
2M17534721-3449368,STAR,268.44673,-34.8269,3,58262.3699030208,8000.0,3
2M17534414-3447397,STAR,268.433934,-34.794376,3,58262.3699030208,8000.0,3
2M17534268-3453156,STAR,268.427836,-34.887676,3,58262.3699030208,1000.918,3
2M17533705-3445207,STAR,268.404403,-34.755753,3,58262.3699030208,8000.0,3
2M17534326-3444208,STAR,268.430275,-34.739117,3,58262.3699030208,1000.918,3
2M17535699-3457154,STAR,268.48749,-34.954296,3,58262.3699030208,8000.0,3
2M17542208-3452423,STAR,268.592028,-34.878418,3,58262.3699030208,8000.0,3
2M17531965-3445140,STAR,268.331906,-34.75391,3,58262.3699030208,8000.0,3
2M17542777-3448232,STAR,268.615734,-34.806461,3,58264.1692331018,4000.0,3
2M17542865-3452206,STAR,268.619407,-34.872402,3,58262.3699030208,4000.0,3
2M17541437-3443395,STAR,268.5599,-34.727654,3,58262.3699030208,8000.0,3
AP17542291-3445215,STAR,268.595458,-34.755972,3,58262.3699030208,8000.0,3
AP17532026-3443086,STAR,268.334417,-34.719056,3,58262.3699030208,4000.0,3
2M17543352-3452252,STAR,268.639702,-34.873672,3,58262.3699030208,8000.0,3
2M17532917-3441304,STAR,268.371551,-34.69178,3,58262.3699030208,8000.0,3
2M17543649-3453455,STAR,268.652083,-34.895996,3,58262.3699030208,8000.0,3
AP17525960-3454492,STAR,268.248333,-34.913667,3,58262.3699030208,8000.0,3
2M17540305-3500471,STAR,268.51273,-35.013088,3,58262.3699030208,8000.0,3
AP17541171-3440474,STAR,268.548792,-34.679833,3,58262.3699030208,8000.0,3
2M17540472-3439314,STAR,268.519698,-34.658733,3,58264.1692331018,4000.0,3
2M17532342-3501008,STAR,268.347586,-35.016903,3,58262.3699030208,8000.0,3
AP17544934-3449399,STAR,268.705583,-34.82775,3,58262.3699030208,4000.0,3
2M17544695-3445135,STAR,268.695628,-34.753761,3,58262.3699030208,8000.0,3
2M17543862-3441452,STAR,268.660934,-34.695892,3,58262.3699030208,8000.0,3
2M17543278-3500305,STAR,268.636609,-35.00848,3,58262.3699030208,8000.0,3
2M17523951-3443337,STAR,268.164664,-34.726048,3,58262.3699030208,8000.0,3
2M17532914-3505504,STAR,268.371442,-35.097347,3,58264.1692331018,4000.0,3
2M17523006-3451035,STAR,268.125285,-34.85099,3,58262.3699030208,8000.0,3
AP17533608-3506334,STAR,268.400333,-35.109278,3,58262.3699030208,4000.0,3
2M17523032-3445542,STAR,268.126365,-34.765068,3,58262.3699030208,1000.918,3
2M17550480-3445525,STAR,268.770007,-34.76461,3,58262.3699030208,4000.0,3
2M17543665-3437024,STAR,268.652714,-34.617336,3,58262.3699030208,8000.0,3
2M17550366-3443409,STAR,268.765283,-34.72805,3,58262.3699030208,8000.0,3
2M17543060-3505084,STAR,268.627533,-35.085678,3,58262.3699030208,8000.0,3
2M17523205-3442525,STAR,268.133561,-34.7146,3,58262.3699030208,8000.0,3
2M17545721-3439402,STAR,268.738392,-34.661171,3,58262.3699030208,8000.0,3
2M17540135-3432299,STAR,268.505651,-34.541641,3,58262.3699030208,8000.0,3
2M17540135-3432299,STAR,268.505651,-34.541641,3,58292.0801578241,2001.836,3
2M17532394-3508100,STAR,268.349752,-35.136124,3,58262.3699030208,8000.0,3
2M17545454-3437231,STAR,268.727251,-34.6231,3,58292.0801578241,4000.0,3
AP17544729-3435568,STAR,268.697042,-34.599111,3,58262.3699030208,8000.0,3
AP17544729-3435568,STAR,268.697042,-34.599111,3,58292.0801578241,4000.0,3
2M17551344-3458034,STAR,268.806036,-34.967617,3,58262.3699030208,8000.0,3
2M17552081-3447475,STAR,268.836738,-34.796551,3,58262.3699030208,8000.0,3
2M17522246-3441225,STAR,268.093587,-34.689587,3,58262.3699030208,8000.0,3
AP17544245-3506439,STAR,268.676875,-35.112194,3,58262.3699030208,8000.0,3
2M17541317-3431204,STAR,268.554882,-34.522335,3,58262.3699030208,8000.0,3
2M17521865-3442264,STAR,268.07772,-34.707344,3,58262.3699030208,8000.0,3
2M17551333-3441074,STAR,268.805563,-34.685413,3,58262.3699030208,8000.0,3
2M17535939-3430358,STAR,268.497471,-34.50996,3,58292.0801578241,4000.0,3
2M17520874-3447207,STAR,268.036429,-34.789104,3,58262.3699030208,8000.0,3
2M17541028-3510308,STAR,268.54287,-35.17524,3,58262.3699030208,8000.0,3
2M17524160-3506374,STAR,268.173357,-35.110416,3,58262.3699030208,8000.0,3
AP17552370-3442350,STAR,268.84875,-34.709722,3,58262.3699030208,4000.0,3
2M17545728-3434423,STAR,268.738694,-34.578419,3,58262.3699030208,1000.918,3
2M17534510-3428520,STAR,268.437946,-34.481117,3,58262.3699030208,8000.0,3
2M17544788-3432317,STAR,268.699513,-34.54216,3,58262.3699030208,8000.0,3
2M17544788-3432317,STAR,268.699513,-34.54216,3,58292.0801578241,2001.836,3
2M17515825-3454204,STAR,267.992744,-34.905674,3,58264.1692331018,4000.0,3
2M17541607-3512246,STAR,268.566991,-35.20686,3,58262.3699030208,8000.0,3
2M17524671-3509402,STAR,268.194664,-35.161186,3,58264.1692331018,4000.0,3
2M17551187-3435215,STAR,268.79948,-34.589325,3,58262.3699030208,8000.0,3
2M17551187-3435215,STAR,268.79948,-34.589325,3,58292.0801578241,4000.0,3
2M17540783-3513068,STAR,268.532645,-35.218582,3,58262.3699030208,8000.0,3
2M17540204-3426580,STAR,268.508516,-34.449471,3,58292.0801578241,4000.0,3
2M17534210-3426397,STAR,268.425423,-34.444363,3,58292.0801578241,4000.0,3
2M17522046-3506244,STAR,268.08525,-35.106804,3,58262.3699030208,8000.0,3
AP17515104-3446100,STAR,267.962667,-34.769444,3,58262.3699030208,8000.0,3
2M17550373-3431417,STAR,268.765546,-34.528252,3,58262.3699030208,8000.0,3
2M17550373-3431417,STAR,268.765546,-34.528252,3,58292.0801578241,4000.0,3
2M17543085-3513178,STAR,268.628562,-35.221622,3,58262.3699030208,4000.0,3
2M17522213-3508034,STAR,268.092236,-35.134293,3,58262.3699030208,8000.0,3
2M17532713-3425496,STAR,268.363055,-34.430458,3,58292.0801578241,4000.0,3
2M17514569-3453150,STAR,267.940405,-34.887512,3,58264.1692331018,4000.0,3
2M17520585-3504367,STAR,268.024393,-35.076862,3,58262.3699030208,8000.0,3
2M17555091-3448166,STAR,268.962132,-34.80463,3,58262.3699030208,8000.0,3
2M17525643-3426457,STAR,268.23516,-34.446041,3,58292.0801578241,2001.836,3
2M17555487-3454513,STAR,268.978662,-34.914253,3,58262.3699030208,4000.0,3
2M17555487-3454513,STAR,268.978662,-34.914253,3,58264.3239842477,2001.836,3
2M17550296-3428473,STAR,268.762373,-34.479828,3,58262.3699030208,1000.918,3
2M17550296-3428473,STAR,268.762373,-34.479828,3,58292.0801578241,4000.0,3
AP17513708-3446110,STAR,267.9045,-34.769722,3,58262.3699030208,8000.0,3
AP17513924-3457282,STAR,267.9135,-34.957833,3,58262.3699030208,8000.0,3
2M17513450-3451450,STAR,267.893778,-34.862522,3,58262.3699030208,8000.0,3
2M17551223-3429276,STAR,268.800999,-34.491005,3,58262.3699030208,8000.0,3
2M17551223-3429276,STAR,268.800999,-34.491005,3,58292.0801578241,4000.0,3
AP17542536-3516586,STAR,268.605667,-35.282944,3,58262.3699030208,8000.0,3
AP17540657-3423015,STAR,268.527375,-34.38375,3,58262.3699030208,8000.0,3
AP17540657-3423015,STAR,268.527375,-34.38375,3,58292.0801578241,4000.0,3
2M17535405-3518430,STAR,268.475249,-35.311966,3,58262.3699030208,8000.0,3
AP17513644-3441332,STAR,267.901833,-34.692556,3,58262.3699030208,8000.0,3
2M17512908-3451041,STAR,267.871172,-34.851151,3,58262.3699030208,8000.0,3
2M17550232-3514307,STAR,268.75969,-35.241871,3,58262.3699030208,8000.0,3
2M17551984-3511487,STAR,268.832675,-35.196877,3,58262.3699030208,8000.0,3
2M17560655-3452575,STAR,269.027296,-34.882641,3,58264.3239842477,4000.0,3
2M17524104-3425048,STAR,268.171035,-34.418018,3,58292.0801578241,4000.0,3
2M17541670-3422153,STAR,268.569589,-34.370934,3,58292.0801578241,4000.0,3
2M17525319-3423191,STAR,268.22164,-34.388653,3,58262.3699030208,8000.0,3
2M17522250-3514209,STAR,268.093786,-35.239155,3,58264.1692331018,4000.0,3
2M17560117-3502466,STAR,269.004898,-35.046299,3,58264.3239842477,4000.0,3
2M17553506-3429568,STAR,268.896098,-34.499126,3,58292.0801578241,4000.0,3
2M17523905-3423420,STAR,268.162719,-34.39502,3,58262.3699030208,8000.0,3
2M17520282-3511520,STAR,268.011776,-35.197792,3,58262.3699030208,8000.0,3
2M17560998-3442290,STAR,269.041596,-34.708076,3,58264.3239842477,4000.0,3
AP17520877-3426435,STAR,268.036542,-34.445417,3,58264.1692331018,4000.0,3
2M17525031-3421241,STAR,268.209661,-34.356709,3,58262.3699030208,8000.0,3
2M17525031-3421241,STAR,268.209661,-34.356709,3,58292.0801578241,4000.0,3
2M17560788-3502558,STAR,269.03284,-35.048847,3,58262.3699030208,8000.0,3
2M17560788-3502558,STAR,269.03284,-35.048847,3,58264.3239842477,4000.0,3
AP17531744-3521168,STAR,268.322667,-35.354667,3,58262.3699030208,1000.918,3
2M17560438-3504356,STAR,269.018283,-35.076565,3,58264.3239842477,4000.0,3
AP17512767-3437235,STAR,267.865292,-34.623194,3,58264.1692331018,4000.0,3
2M17561924-3456344,STAR,269.080172,-34.942905,3,58262.3699030208,1000.918,3
2M17561924-3456344,STAR,269.080172,-34.942905,3,58264.3239842477,4000.0,3
2M17511070-3447150,STAR,267.794613,-34.787518,3,58262.3699030208,8000.0,3
2M17562064-3458150,STAR,269.086011,-34.970848,3,58264.3239842477,4000.0,3
2M17554102-3513025,STAR,268.920919,-35.217369,3,58262.3699030208,8000.0,3
AP17552192-3424288,STAR,268.841333,-34.408,3,58262.3699030208,1000.918,3
AP17552192-3424288,STAR,268.841333,-34.408,3,58292.0801578241,2001.836,3
2M17561689-3501214,STAR,269.070406,-35.022614,3,58262.3699030208,8000.0,3
2M17561689-3501214,STAR,269.070406,-35.022614,3,58264.3239842477,2001.836,3
2M17523563-3421151,STAR,268.148462,-34.354218,3,58292.0801578241,4000.0,3
2M17545497-3420491,STAR,268.729057,-34.346977,3,58292.0801578241,2001.836,3
2M17555810-3431195,STAR,268.99209,-34.522099,3,58262.3699030208,8000.0,3
2M17553462-3425536,STAR,268.894254,-34.431561,3,58292.0801578241,4000.0,3
2M17562874-3448013,STAR,269.119788,-34.800381,3,58262.3699030208,8000.0,3
2M17562793-3445571,STAR,269.116388,-34.765877,3,58264.3239842477,4000.0,3
2M17511205-3500253,STAR,267.800239,-35.00705,3,58262.3699030208,8000.0,3
2M17523833-3521013,STAR,268.159713,-35.350376,3,58262.3699030208,4000.0,3
AP17554833-3427212,STAR,268.951375,-34.455889,3,58292.0801578241,4000.0,3
2M17551839-3422064,STAR,268.826626,-34.368458,3,58262.3699030208,8000.0,3
2M17551839-3422064,STAR,268.826626,-34.368458,3,58292.0801578241,4000.0,3
2M17563286-3447190,STAR,269.136919,-34.788612,3,58264.3239842477,2001.836,3
2M17530128-3417398,STAR,268.255337,-34.294411,3,58262.3699030208,8000.0,3
2M17542936-3417216,STAR,268.622363,-34.28936,3,58262.3699030208,8000.0,3
AP17512085-3434063,STAR,267.836875,-34.568417,3,58262.3699030208,8000.0,3
2M17531651-3524355,STAR,268.318807,-35.409885,3,58262.3699030208,8000.0,3
2M17543525-3417079,STAR,268.646899,-34.285542,3,58262.3699030208,8000.0,3
2M17543525-3417079,STAR,268.646899,-34.285542,3,58292.0801578241,4000.0,3
2M17560415-3429584,STAR,269.017313,-34.499561,3,58264.3239842477,2001.836,3
2M17560415-3429584,STAR,269.017313,-34.499561,3,58292.0801578241,4000.0,3
2M17525947-3416251,STAR,268.2478,-34.273663,3,58292.0801578241,4000.0,3
2M17563992-3446185,STAR,269.166374,-34.771812,3,58264.3239842477,4000.0,3
2M17535069-3414309,STAR,268.461246,-34.241917,3,58292.0801578241,4000.0,3
2M17564224-3447343,STAR,269.176008,-34.792873,3,58264.3239842477,4000.0,3
2M17551583-3521379,STAR,268.815963,-35.360531,3,58262.3699030208,8000.0,3
2M17520044-3421341,STAR,268.001849,-34.359486,3,58262.3699030208,8000.0,3
AP17563206-3504052,STAR,269.133583,-35.068111,3,58264.3239842477,2001.836,3
2M17564036-3458500,STAR,269.168206,-34.980583,3,58264.3239842477,4000.0,3
2M17550193-3417208,STAR,268.758073,-34.289112,3,58262.3699030208,1000.918,3
2M17550193-3417208,STAR,268.758073,-34.289112,3,58292.0801578241,4000.0,3
2M17521963-3418290,STAR,268.081799,-34.30806,3,58262.3699030208,8000.0,3
2M17505598-3439564,STAR,267.733276,-34.665676,3,58262.3699030208,8000.0,3
2M17564125-3459499,STAR,269.171889,-34.997211,3,58264.3239842477,4000.0,3
2M17564865-3450064,STAR,269.202744,-34.835129,3,58264.3239842477,2001.836,3
2M17512487-3427252,STAR,267.85363,-34.457027,3,58262.3699030208,8000.0,3
2M17530843-3413597,STAR,268.285149,-34.233276,3,58262.3699030208,8000.0,3
2M17555701-3517291,STAR,268.987561,-35.291431,3,58262.3699030208,8000.0,3
2M17515371-3520281,STAR,267.973796,-35.341156,3,58262.3699030208,1000.918,3
2M17550334-3525086,STAR,268.76395,-35.419071,3,58262.3699030208,1000.918,3
AP17534389-3412240,STAR,268.432875,-34.206667,3,58262.3699030208,8000.0,3
AP17534389-3412240,STAR,268.432875,-34.206667,3,58292.0801578241,4000.0,3
AP17514617-3421281,STAR,267.942375,-34.357806,3,58262.3699030208,8000.0,3
2M17565306-3454264,STAR,269.22112,-34.907345,3,58264.3239842477,4000.0,3
