target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.47922433,680.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.4743284,240.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.46718729,90.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.47922433,1010.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.47922433,680.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.4743284,240.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.46718729,90.0,0
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.4446404745,35.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.4460293634,35.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.4474182523,35.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.4488085648,500.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.4564474537,500.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.4995030093,500.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5071418981,500.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5154738079,50.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5175571412,50.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5196404745,50.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5668641204,600.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5758918981,600.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.5849196759,600.0,1
NGC6333-POS1,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.8040770857,-18.51716561526,3,49794.633530787,600.0,1
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.4792243403,680.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.4671873032,90.0,0
MESSIER-009,STELLAR-CLUSTER-GLOBULAR-CLUSTER,259.7991666667,-18.51638888889,3,53886.4743283912,240.0,0
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7245015856,50.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.726584919,50.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7286682523,50.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7675585648,600.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7765863426,600.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7856141551,600.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.8349196759,600.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.645334919,35.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.6467238079,35.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.6481126968,35.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.6495030093,500.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7008918981,500.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.708530787,500.0,1
NGC6333-POS2,STELLAR-CLUSTER-GLOBULAR-CLUSTER-,259.7982180457,-18.51160996958,3,49794.7161696759,500.0,1
